h-5,h-5 href,truncate href,mx-2,text-yellow,text-olive,text-pink
1398. Customers Who Bought Products A and B but Not C,https://leetcode.com/problems/customers-who-bought-products-a-and-b-but-not-c,,79.0%,Medium,,
1399. Count Largest Group,https://leetcode.com/problems/count-largest-group,,66.6%,,Easy,
1400. Construct K Palindrome Strings,https://leetcode.com/problems/construct-k-palindrome-strings,,63.9%,Medium,,
1401. Circle and Rectangle Overlapping,https://leetcode.com/problems/circle-and-rectangle-overlapping,,43.6%,Medium,,
1402. Reducing Dishes,https://leetcode.com/problems/reducing-dishes,,72.5%,,,Hard
1403. Minimum Subsequence in Non-Increasing Order,https://leetcode.com/problems/minimum-subsequence-in-non-increasing-order,,72.1%,,Easy,
1404. Number of Steps to Reduce a Number in Binary Representation to One,https://leetcode.com/problems/number-of-steps-to-reduce-a-number-in-binary-representation-to-one,,50.7%,Medium,,
1405. Longest Happy String,https://leetcode.com/problems/longest-happy-string,,56.1%,Medium,,
1406. Stone Game III,https://leetcode.com/problems/stone-game-iii,,60.3%,,,Hard
1407. Top Travellers,https://leetcode.com/problems/top-travellers,,83.4%,,Easy,
1408. String Matching in an Array,https://leetcode.com/problems/string-matching-in-an-array,,63.8%,,Easy,
1409. Queries on a Permutation With Key,https://leetcode.com/problems/queries-on-a-permutation-with-key,,82.7%,Medium,,
1410. HTML Entity Parser,https://leetcode.com/problems/html-entity-parser,,52.7%,Medium,,
1411. Number of Ways to Paint N × 3 Grid,https://leetcode.com/problems/number-of-ways-to-paint-n-3-grid,,61.8%,,,Hard
1412. Find the Quiet Students in All Exams,https://leetcode.com/problems/find-the-quiet-students-in-all-exams,,62.6%,,,Hard
1413. Minimum Value to Get Positive Step by Step Sum,https://leetcode.com/problems/minimum-value-to-get-positive-step-by-step-sum,https://leetcode.com/problems/minimum-value-to-get-positive-step-by-step-sum/solution,68.7%,,Easy,
1414. Find the Minimum Number of Fibonacci Numbers Whose Sum Is K,https://leetcode.com/problems/find-the-minimum-number-of-fibonacci-numbers-whose-sum-is-k,,65.1%,Medium,,
1415. The k-th Lexicographical String of All Happy Strings of Length n,https://leetcode.com/problems/the-k-th-lexicographical-string-of-all-happy-strings-of-length-n,,71.2%,Medium,,
1416. Restore The Array,https://leetcode.com/problems/restore-the-array,,37.8%,,,Hard
1417. Reformat The String,https://leetcode.com/problems/reformat-the-string,,56.4%,,Easy,
1418. Display Table of Food Orders in a Restaurant,https://leetcode.com/problems/display-table-of-food-orders-in-a-restaurant,,72.1%,Medium,,
1419. Minimum Number of Frogs Croaking,https://leetcode.com/problems/minimum-number-of-frogs-croaking,,49.6%,Medium,,
1420. Build Array Where You Can Find The Maximum Exactly K Comparisons,https://leetcode.com/problems/build-array-where-you-can-find-the-maximum-exactly-k-comparisons,,64.6%,,,Hard
1421. NPV Queries,https://leetcode.com/problems/npv-queries,,83.3%,,Easy,
1422. Maximum Score After Splitting a String,https://leetcode.com/problems/maximum-score-after-splitting-a-string,,57.7%,,Easy,
1423. Maximum Points You Can Obtain from Cards,https://leetcode.com/problems/maximum-points-you-can-obtain-from-cards,https://leetcode.com/problems/maximum-points-you-can-obtain-from-cards/solution,49.9%,Medium,,
1424. Diagonal Traverse II,https://leetcode.com/problems/diagonal-traverse-ii,,49.7%,Medium,,
1425. Constrained Subsequence Sum,https://leetcode.com/problems/constrained-subsequence-sum,,46.4%,,,Hard
1426. Counting Elements,https://leetcode.com/problems/counting-elements,https://leetcode.com/problems/counting-elements/solution,59.5%,,Easy,
1427. Perform String Shifts,https://leetcode.com/problems/perform-string-shifts,https://leetcode.com/problems/perform-string-shifts/solution,54.0%,,Easy,
1428. Leftmost Column with at Least a One,https://leetcode.com/problems/leftmost-column-with-at-least-a-one,https://leetcode.com/problems/leftmost-column-with-at-least-a-one/solution,52.3%,Medium,,
1429. First Unique Number,https://leetcode.com/problems/first-unique-number,https://leetcode.com/problems/first-unique-number/solution,52.1%,Medium,,
1430. Check If a String Is a Valid Sequence from Root to Leaves Path in a Binary Tree,https://leetcode.com/problems/check-if-a-string-is-a-valid-sequence-from-root-to-leaves-path-in-a-binary-tree,,45.6%,Medium,,
1431. Kids With the Greatest Number of Candies,https://leetcode.com/problems/kids-with-the-greatest-number-of-candies,,87.8%,,Easy,
1432. Max Difference You Can Get From Changing an Integer,https://leetcode.com/problems/max-difference-you-can-get-from-changing-an-integer,,43.4%,Medium,,
1433. Check If a String Can Break Another String,https://leetcode.com/problems/check-if-a-string-can-break-another-string,,68.4%,Medium,,
1434. Number of Ways to Wear Different Hats to Each Other,https://leetcode.com/problems/number-of-ways-to-wear-different-hats-to-each-other,,41.7%,,,Hard
1435. Create a Session Bar Chart,https://leetcode.com/problems/create-a-session-bar-chart,,78.3%,,Easy,
1436. Destination City,https://leetcode.com/problems/destination-city,,77.7%,,Easy,
1437. Check If All 1's Are at Least Length K Places Away,https://leetcode.com/problems/check-if-all-1s-are-at-least-length-k-places-away,https://leetcode.com/problems/check-if-all-1s-are-at-least-length-k-places-away/solution,60.1%,,Easy,
1438. Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,,46.0%,Medium,,
1439. Find the Kth Smallest Sum of a Matrix With Sorted Rows,https://leetcode.com/problems/find-the-kth-smallest-sum-of-a-matrix-with-sorted-rows,,61.5%,,,Hard
1440. Evaluate Boolean Expression,https://leetcode.com/problems/evaluate-boolean-expression,,75.5%,Medium,,
1441. Build an Array With Stack Operations,https://leetcode.com/problems/build-an-array-with-stack-operations,,70.8%,,Easy,
1442. Count Triplets That Can Form Two Arrays of Equal XOR,https://leetcode.com/problems/count-triplets-that-can-form-two-arrays-of-equal-xor,,74.5%,Medium,,
1443. Minimum Time to Collect All Apples in a Tree,https://leetcode.com/problems/minimum-time-to-collect-all-apples-in-a-tree,,55.5%,Medium,,
1444. Number of Ways of Cutting a Pizza,https://leetcode.com/problems/number-of-ways-of-cutting-a-pizza,,55.3%,,,Hard
1445. Apples & Oranges,https://leetcode.com/problems/apples-oranges,,91.5%,Medium,,
1446. Consecutive Characters,https://leetcode.com/problems/consecutive-characters,https://leetcode.com/problems/consecutive-characters/solution,62.0%,,Easy,
1447. Simplified Fractions,https://leetcode.com/problems/simplified-fractions,,63.7%,Medium,,
1448. Count Good Nodes in Binary Tree,https://leetcode.com/problems/count-good-nodes-in-binary-tree,https://leetcode.com/problems/count-good-nodes-in-binary-tree/solution,73.0%,Medium,,
1449. Form Largest Integer With Digits That Add up to Target,https://leetcode.com/problems/form-largest-integer-with-digits-that-add-up-to-target,,46.2%,,,Hard
1450. Number of Students Doing Homework at a Given Time,https://leetcode.com/problems/number-of-students-doing-homework-at-a-given-time,,76.5%,,Easy,
1451. Rearrange Words in a Sentence,https://leetcode.com/problems/rearrange-words-in-a-sentence,,61.7%,Medium,,
1452. People Whose List of Favorite Companies Is Not a Subset of Another List,https://leetcode.com/problems/people-whose-list-of-favorite-companies-is-not-a-subset-of-another-list,,56.5%,Medium,,
1453. Maximum Number of Darts Inside of a Circular Dartboard,https://leetcode.com/problems/maximum-number-of-darts-inside-of-a-circular-dartboard,,36.3%,,,Hard
1454. Active Users,https://leetcode.com/problems/active-users,,38.4%,Medium,,
1455. Check If a Word Occurs As a Prefix of Any Word in a Sentence,https://leetcode.com/problems/check-if-a-word-occurs-as-a-prefix-of-any-word-in-a-sentence,,64.6%,,Easy,
1456. Maximum Number of Vowels in a Substring of Given Length,https://leetcode.com/problems/maximum-number-of-vowels-in-a-substring-of-given-length,,57.2%,Medium,,
1457. Pseudo-Palindromic Paths in a Binary Tree,https://leetcode.com/problems/pseudo-palindromic-paths-in-a-binary-tree,https://leetcode.com/problems/pseudo-palindromic-paths-in-a-binary-tree/solution,67.4%,Medium,,
1458. Max Dot Product of Two Subsequences,https://leetcode.com/problems/max-dot-product-of-two-subsequences,,45.0%,,,Hard
1459. Rectangles Area,https://leetcode.com/problems/rectangles-area,,68.2%,Medium,,
1460. Make Two Arrays Equal by Reversing Sub-arrays,https://leetcode.com/problems/make-two-arrays-equal-by-reversing-sub-arrays,,72.5%,,Easy,
1461. Check If a String Contains All Binary Codes of Size K,https://leetcode.com/problems/check-if-a-string-contains-all-binary-codes-of-size-k,https://leetcode.com/problems/check-if-a-string-contains-all-binary-codes-of-size-k/solution,54.4%,Medium,,
1462. Course Schedule IV,https://leetcode.com/problems/course-schedule-iv,,47.6%,Medium,,
1463. Cherry Pickup II,https://leetcode.com/problems/cherry-pickup-ii,https://leetcode.com/problems/cherry-pickup-ii/solution,70.9%,,,Hard
1464. Maximum Product of Two Elements in an Array,https://leetcode.com/problems/maximum-product-of-two-elements-in-an-array,,78.2%,,Easy,
1465. Maximum Area of a Piece of Cake After Horizontal and Vertical Cuts,https://leetcode.com/problems/maximum-area-of-a-piece-of-cake-after-horizontal-and-vertical-cuts,https://leetcode.com/problems/maximum-area-of-a-piece-of-cake-after-horizontal-and-vertical-cuts/solution,37.1%,Medium,,
1466. Reorder Routes to Make All Paths Lead to the City Zero,https://leetcode.com/problems/reorder-routes-to-make-all-paths-lead-to-the-city-zero,,60.7%,Medium,,
1467. Probability of a Two Boxes Having The Same Number of Distinct Balls,https://leetcode.com/problems/probability-of-a-two-boxes-having-the-same-number-of-distinct-balls,,60.8%,,,Hard
1468. Calculate Salaries,https://leetcode.com/problems/calculate-salaries,,82.4%,Medium,,
1469. Find All The Lonely Nodes,https://leetcode.com/problems/find-all-the-lonely-nodes,,81.6%,,Easy,
1470. Shuffle the Array,https://leetcode.com/problems/shuffle-the-array,,88.3%,,Easy,
1471. The k Strongest Values in an Array,https://leetcode.com/problems/the-k-strongest-values-in-an-array,,59.7%,Medium,,
1472. Design Browser History,https://leetcode.com/problems/design-browser-history,,74.6%,Medium,,
1473. Paint House III,https://leetcode.com/problems/paint-house-iii,,50.5%,,,Hard
1474. Delete N Nodes After M Nodes of a Linked List,https://leetcode.com/problems/delete-n-nodes-after-m-nodes-of-a-linked-list,https://leetcode.com/problems/delete-n-nodes-after-m-nodes-of-a-linked-list/solution,73.6%,,Easy,
1475. Final Prices With a Special Discount in a Shop,https://leetcode.com/problems/final-prices-with-a-special-discount-in-a-shop,,75.1%,,Easy,
1476. Subrectangle Queries,https://leetcode.com/problems/subrectangle-queries,,88.3%,Medium,,
1477. Find Two Non-overlapping Sub-arrays Each With Target Sum,https://leetcode.com/problems/find-two-non-overlapping-sub-arrays-each-with-target-sum,,36.6%,Medium,,
1478. Allocate Mailboxes,https://leetcode.com/problems/allocate-mailboxes,,55.4%,,,Hard
1479. Sales by Day of the Week,https://leetcode.com/problems/sales-by-day-of-the-week,,82.4%,,,Hard
1480. Running Sum of 1d Array,https://leetcode.com/problems/running-sum-of-1d-array,https://leetcode.com/problems/running-sum-of-1d-array/solution,89.5%,,Easy,
1481. Least Number of Unique Integers after K Removals,https://leetcode.com/problems/least-number-of-unique-integers-after-k-removals,,60.0%,Medium,,
1482. Minimum Number of Days to Make m Bouquets,https://leetcode.com/problems/minimum-number-of-days-to-make-m-bouquets,,55.2%,Medium,,
1483. Kth Ancestor of a Tree Node,https://leetcode.com/problems/kth-ancestor-of-a-tree-node,,33.4%,,,Hard
1484. Group Sold Products By The Date,https://leetcode.com/problems/group-sold-products-by-the-date,,85.0%,,Easy,
1485. Clone Binary Tree With Random Pointer,https://leetcode.com/problems/clone-binary-tree-with-random-pointer,https://leetcode.com/problems/clone-binary-tree-with-random-pointer/solution,79.9%,Medium,,
1486. XOR Operation in an Array,https://leetcode.com/problems/xor-operation-in-an-array,,84.2%,,Easy,
1487. Making File Names Unique,https://leetcode.com/problems/making-file-names-unique,,34.6%,Medium,,
1488. Avoid Flood in The City,https://leetcode.com/problems/avoid-flood-in-the-city,,25.3%,Medium,,
1489. Find Critical and Pseudo-Critical Edges in Minimum Spanning Tree,https://leetcode.com/problems/find-critical-and-pseudo-critical-edges-in-minimum-spanning-tree,,52.7%,,,Hard
1490. Clone N-ary Tree,https://leetcode.com/problems/clone-n-ary-tree,https://leetcode.com/problems/clone-n-ary-tree/solution,83.6%,Medium,,
1491. Average Salary Excluding the Minimum and Maximum Salary,https://leetcode.com/problems/average-salary-excluding-the-minimum-and-maximum-salary,,66.6%,,Easy,
1492. The kth Factor of n,https://leetcode.com/problems/the-kth-factor-of-n,https://leetcode.com/problems/the-kth-factor-of-n/solution,62.1%,Medium,,
1493. Longest Subarray of 1's After Deleting One Element,https://leetcode.com/problems/longest-subarray-of-1s-after-deleting-one-element,,60.0%,Medium,,
1494. Parallel Courses II,https://leetcode.com/problems/parallel-courses-ii,,31.8%,,,Hard
1495. Friendly Movies Streamed Last Month,https://leetcode.com/problems/friendly-movies-streamed-last-month,,50.4%,,Easy,
1496. Path Crossing,https://leetcode.com/problems/path-crossing,,55.7%,,Easy,
1497. Check If Array Pairs Are Divisible by k,https://leetcode.com/problems/check-if-array-pairs-are-divisible-by-k,,40.5%,Medium,,
1498. Number of Subsequences That Satisfy the Given Sum Condition,https://leetcode.com/problems/number-of-subsequences-that-satisfy-the-given-sum-condition,,39.2%,Medium,,
1499. Max Value of Equation,https://leetcode.com/problems/max-value-of-equation,,46.8%,,,Hard
1500. Design a File Sharing System,https://leetcode.com/problems/design-a-file-sharing-system,,45.0%,Medium,,
1501. Countries You Can Safely Invest In,https://leetcode.com/problems/countries-you-can-safely-invest-in,,58.3%,Medium,,
1502. Can Make Arithmetic Progression From Sequence,https://leetcode.com/problems/can-make-arithmetic-progression-from-sequence,,70.4%,,Easy,
1503. Last Moment Before All Ants Fall Out of a Plank,https://leetcode.com/problems/last-moment-before-all-ants-fall-out-of-a-plank,,54.7%,Medium,,
1504. Count Submatrices With All Ones,https://leetcode.com/problems/count-submatrices-with-all-ones,,58.8%,Medium,,
1505. Minimum Possible Integer After at Most K Adjacent Swaps On Digits,https://leetcode.com/problems/minimum-possible-integer-after-at-most-k-adjacent-swaps-on-digits,,37.4%,,,Hard
1506. Find Root of N-Ary Tree,https://leetcode.com/problems/find-root-of-n-ary-tree,https://leetcode.com/problems/find-root-of-n-ary-tree/solution,78.2%,Medium,,
